City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,puerto san jose,13.9256,-90.8244,28.59,75,100,0.69,GT,1715496518
162,itoman,26.1247,127.6694,29.43,83,75,7.2,JP,1715496519
163,uliastay,47.7417,96.8444,25.55,10,7,7.03,MN,1715496519
164,khost,33.3395,69.9204,25.99,29,0,3.82,AF,1715496520
165,nyala,12.05,24.8833,35.18,16,2,5.84,SD,1715496520
166,sur,22.5667,59.5289,35.38,29,0,1.09,OM,1715496520
167,hermanus,-34.4187,19.2345,13.98,74,9,4.5,ZA,1715496521
168,tlapa de comonfort,17.55,-98.55,22.0,45,100,2.48,MX,1715496522
169,la trinite,14.7376,-60.9629,27.03,78,0,2.57,MQ,1715496522
170,antsiranana,-12.2787,49.2917,29.42,58,40,8.23,MG,1715496523
171,greymouth,-42.4667,171.2,10.14,71,97,0.75,NZ,1715496523
172,cockburn town,21.4612,-71.1419,25.99,84,0,2.47,TC,1715496524
173,tobelo,1.7284,128.0095,31.06,59,100,1.92,ID,1715496480
174,ust-tsilma,65.441,52.1498,-1.33,85,100,3.13,RU,1715496525
175,puerto ayora,-0.7393,-90.3518,23.08,100,100,3.06,EC,1715496526
176,magadan,59.5667,150.8,0.29,89,98,2.29,RU,1715496526
177,shalkar,47.8288,59.6258,25.66,20,47,12.44,KZ,1715496527
178,castillos,-34.1667,-53.8333,14.47,74,100,4.16,UY,1715496527
179,kenai,60.5544,-151.2583,7.05,80,100,3.6,US,1715496114
180,kingston,17.997,-76.7936,28.53,74,20,2.06,JM,1715495979
181,torghay,49.6339,63.4981,23.63,23,25,9.08,KZ,1715496529
182,bikenibeu village,1.3673,173.1241,28.45,75,87,2.83,KI,1715496529
183,wucheng,29.6008,118.175,19.35,74,88,2.29,CN,1715496530
184,le port,-20.9373,55.2919,28.0,65,0,0.38,RE,1715496531
185,rongelap,11.1635,166.8941,27.46,86,47,6.81,MH,1715496531
